id,name,ticker,category,sub,source,sourceUrl,confidence,rawScore,score,fundamental,price,change,volume
ath-P-35812,Clare Polkinghorne,CLPO,Athlete,Football • Defender • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Clare_Polkinghorne,0.89,97.8,92.6,211.89,224.39,3.47,1035000
ath-P-48831,Dino Zoff,DIZO,Athlete,Football • Goalkeeper • 1982,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Dino_Zoff,0.89,97.9,92.6,212.01,216.39,3.05,859374
ath-P-27779,Hedvig Lindahl,HELI,Athlete,Football • Goalkeeper • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Hedvig_Lindahl,0.89,97.9,92.6,212.23,219.64,9.05,1065000
ath-P-49502,Lothar Matthäus,LOMA,Athlete,Football • Midfielder • 1998,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Lothar_Matth%C3%A4us,0.89,97.8,92.6,211.91,200.58,-0.34,715000
ath-P-30486,Luis Suárez,LUSU,Athlete,Football • Forward • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Luis_Su%C3%A1rez,0.89,97.8,92.6,211.93,248.45,-5.07,665000
ath-P-44334,Pepe Reina,PERE,Athlete,Football • Goalkeeper • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Pepe_Reina,0.89,97.8,92.6,211.9,198.9,0.76,675000
ath-P-32798,Thiago Silva,THSI,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Thiago_Silva,0.89,97.8,92.6,211.8,207.05,4.85,995000
ath-P-29694,Trine Rønning,TRRN,Athlete,Football • Forward • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Trine_R%C3%B8nning,0.89,97.8,92.6,211.9,209.33,-6.84,575000
ath-P-69129,Ali Riley,ALRI,Athlete,Football • Defender • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Ali_Riley,0.89,97.7,92.5,211.49,249.79,-5.77,615000
ath-P-90420,Kátia,KATI,Athlete,Football • Forward • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/K%C3%A1tia_Cilene_Teixeira,0.89,97.7,92.5,211.41,217.07,8.57,765718
ath-P-19408,Manuel Neuer,MANE,Athlete,Football • Goalkeeper • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Manuel_Neuer,0.89,97.7,92.5,211.52,227.78,-6.98,565000
ath-P-27787,Miroslav Klose,MIKL,Athlete,Football • Forward • 2014,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Miroslav_Klose,0.89,97.8,92.5,211.7,199.82,-2.65,695000
ath-P-12996,Mohamed Al-Deayea,MOAL,Athlete,Football • Goalkeeper • 2006,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Mohamed_Al-Deayea,0.89,97.8,92.5,211.56,233.53,3.3,655608
ath-P-63214,Andoni Zubizarreta,ANZU,Athlete,Football • Goalkeeper • 1998,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Andoni_Zubizarreta,0.89,97.6,92.4,211.08,198.86,-0.89,932904
ath-P-19145,Cheryl Salisbury,CHSA,Athlete,Football • Forward • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Cheryl_Salisbury,0.89,97.7,92.4,211.24,213.31,-2.8,833965
ath-P-82898,Katie Duncan,KADU,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Katie_Duncan,0.89,97.7,92.4,211.15,206.72,-2.32,595000
ath-P-83079,Lisa De Vanna,LIVA,Athlete,Football • Forward • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Lisa_De_Vanna,0.89,97.6,92.4,210.97,210.74,1.24,635000
ath-P-54576,Nadine Angerer,NAAN,Athlete,Football • Goalkeeper • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Nadine_Angerer,0.89,97.6,92.4,210.99,223.34,-7.05,555000
ath-P-88041,Sami Al-Jaber,SAAL,Athlete,Football • Forward • 2006,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Sami_Al-Jaber,0.89,97.6,92.4,210.83,225.78,-0.22,995325
ath-P-62104,Carli Lloyd,CALL,Athlete,Football • Forward • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Carli_Lloyd,0.89,97.5,92.3,210.56,214.53,-6.54,815000
ath-P-69659,Marc Wilmots,MAWI,Athlete,Football • Forward • 2002,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Marc_Wilmots,0.89,97.5,92.3,210.33,199.24,7.59,1035300
ath-P-95092,Sophie Schmidt,SOSC,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Sophie_Schmidt,0.89,97.5,92.3,210.6,211.01,-6.92,915000
ath-P-39183,Bente Nordby,BENO,Athlete,Football • Goalkeeper • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Bente_Nordby,0.89,97.4,92.2,210.21,199.72,3.45,995000
ath-P-72113,Homare Sawa,HOSA,Athlete,Football • Forward • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Homare_Sawa,0.89,97.5,92.2,210.27,211.13,-0.99,645000
ath-P-55990,Perpetua Nkwocha,PENK,Athlete,Football • Forward • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Perpetua_Nkwocha,0.89,97.5,92.2,210.24,223.39,-5.72,1005000
ath-P-92403,Shannon Boxx,SHBO,Athlete,Football • Midfielder • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Shannon_Boxx,0.89,97.4,92.2,210.04,220.74,-2.07,795000
ath-P-78451,Tameka Yallop,TAYA,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Tameka_Yallop,0.89,97.4,92.2,209.97,235.23,1.79,799413
ath-P-26303,Yuto Nagatomo,YUNA,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Yuto_Nagatomo,0.89,97.5,92.2,210.23,225.72,3.85,855000
ath-P-40312,Andrés Guardado,ANGU,Athlete,Football • Midfielder • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Andr%C3%A9s_Guardado,0.89,97.3,92.1,209.6,239.31,1.32,565000
ath-P-88863,Fabio Cannavaro,FACA,Athlete,Football • Defender • 2010,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Fabio_Cannavaro,0.89,97.3,92.1,209.67,225.52,-0.67,933688
ath-P-11392,Gianluigi Buffon,GIBU,Athlete,Football • Goalkeeper • 2014,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Gianluigi_Buffon,0.89,97.3,92.1,209.73,223.19,7.69,875000
ath-P-21208,Héctor Moreno,HEMO,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/H%C3%A9ctor_Moreno,0.89,97.3,92.1,209.45,192.2,-3.23,735000
ath-P-01416,Jordi Alba,JOAL,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Jordi_Alba,0.89,97.3,92.1,209.53,208.45,4.13,725976
ath-P-24251,Seigo Narazaki,SENA,Athlete,Football • Goalkeeper • 2010,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Seigo_Narazaki,0.89,97.3,92.1,209.77,219.76,-2.71,834904
ath-P-00471,Christie Rampone,CHRA,Athlete,Football • Defender • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Christie_Pearce,0.89,97.2,92.0,209.12,218.57,-5.64,765000
ath-P-97459,Claudio Reyna,CLRE,Athlete,Football • Midfielder • 2006,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Claudio_Reyna,0.89,97.2,92.0,209.15,194.68,-1.65,675020
ath-P-86360,Faith Michael,FAMI,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Faith_Michael,0.89,97.2,92.0,209.06,200.75,5.25,505000
ath-P-33751,Oliver Kahn,OLKA,Athlete,Football • Goalkeeper • 2006,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Oliver_Kahn,0.89,97.2,92.0,208.94,201.82,-0.11,510015
ath-P-61703,Samuel Eto'o,SAET,Athlete,Football • Forward • 2014,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Samuel_Eto%27o,0.89,97.2,92.0,209.26,191.78,-4.94,935000
ath-P-47418,Stephanie Labbé,STLA,Athlete,Football • Goalkeeper • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Stephanie_Labb%C3%A9,0.89,97.2,92.0,209.17,217.34,2.85,824447
ath-P-95194,Therese Sjögran,THSJ,Athlete,Football • Midfielder • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Therese_Sj%C3%B6gran,0.89,97.1,92.0,208.87,207.4,-7.27,795000
ath-P-57722,Christian Bolaños,CHBO,Athlete,Football • Midfielder • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Christian_Bola%C3%B1os,0.89,97.1,91.9,208.57,223.64,-3.26,895295
ath-P-97414,Enzo Scifo,ENSC,Athlete,Football • Midfielder • 1998,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Enzo_Scifo,0.89,97.1,91.9,208.57,205.95,1.92,867339
ath-P-80826,Guillermo Ochoa,GUOC,Athlete,Football • Goalkeeper • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Guillermo_Ochoa,0.89,97.1,91.9,208.81,196.9,-1.14,915000
ath-P-84771,Rumi Utsugi,RUUT,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Rumi_Utsugi,0.89,97.1,91.9,208.77,226.72,2.67,705000
ath-P-89236,Abby Wambach,ABWA,Athlete,Football • Forward • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Abby_Wambach,0.89,97.0,91.8,208.28,197.2,0.63,745000
ath-P-87255,Andrea Neil,ANNE,Athlete,Football • Midfielder • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Andrea_Neil,0.89,96.9,91.8,208.0,201.72,4.55,531728
ath-P-75785,Ehsan Hajsafi,EHHA,Athlete,Football • Midfielder • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Ehsan_Hajsafi,0.89,96.9,91.8,207.98,217.45,0.91,869864
ath-P-55097,Myung-bo Hong,MYHO,Athlete,Football • Defender • 2002,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Hong_Myung-bo,0.89,97.0,91.8,208.28,232.69,9.18,510847
ath-P-68759,Nkiru Okosieme,NKOK,Athlete,Football • Midfielder • 2003,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Nkiru_Okosieme,0.89,97.0,91.8,208.33,220.58,3.77,848332
ath-P-43222,Paolo Maldini,PAM2,Athlete,Football • Defender • 2002,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Paolo_Maldini,0.89,96.9,91.8,207.97,224.95,-2.65,739699
ath-P-62722,Ronaldo,RONA,Athlete,Football • Forward • 2006,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Ronaldo_(Brazilian_footballer),0.89,97.0,91.8,208.29,228.65,-7.48,1043856
ath-P-10543,Tânia,TANI,Athlete,Football • Forward • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/T%C3%A2nia_Maria_Pereira_Ribeiro,0.89,97.0,91.8,208.38,199.0,-1.87,629224
ath-P-39460,Xherdan Shaqiri,XHSH,Athlete,Football • Midfielder • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Xherdan_Shaqiri,0.89,96.9,91.8,207.91,214.51,0.24,595000
ath-P-80895,Annalie Longo,ANLO,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Annalie_Longo,0.89,96.8,91.7,207.63,220.45,4.41,525000
ath-P-36065,Desiree Scott,DESC,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Desiree_Scott,0.89,96.8,91.7,207.56,214.77,5.21,857827
ath-P-41187,Jill Scott,JISC,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Jill_Scott_(footballer),0.89,96.9,91.7,207.8,197.66,7.32,635000
ath-P-36196,Mark Milligan,MAMI,Athlete,Football • Midfielder • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Mark_Milligan,0.89,96.9,91.7,207.83,213.97,-0.6,615000
ath-P-89177,Sergio Ramos,SERA,Athlete,Football • Defender • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Sergio_Ramos,0.89,96.9,91.7,207.88,223.36,-5.31,825000
ath-P-70069,Solveig Gulbrandsen,SOGU,Athlete,Football • Midfielder • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Solveig_Gulbrandsen,0.89,96.8,91.7,207.6,233.98,0.14,625000
ath-P-78246,Ariane Hingst,ARHI,Athlete,Football • Midfielder • 2011,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Ariane_Hingst,0.89,96.8,91.6,207.32,229.88,-3.88,828616
ath-P-53366,Bettina Wiegmann,BEWI,Athlete,Football • Midfielder • 2003,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Bettina_Wiegmann,0.89,96.7,91.6,207.12,197.87,9.33,541819
ath-P-77063,Javier Mascherano,JAMA,Athlete,Football • Midfielder • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Javier_Mascherano,0.89,96.7,91.6,207.13,191.1,4.98,515000
ath-P-81972,Pepe,PEPE,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,"https://en.wikipedia.org/wiki/Pepe_(footballer,_born_1983)",0.89,96.7,91.6,207.01,217.0,0.54,645000
ath-P-54713,Valon Behrami,VABE,Athlete,Football • Midfielder • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Valon_Behrami,0.89,96.8,91.6,207.34,209.09,-3.74,945000
ath-P-52478,Birgit Prinz,BIPR,Athlete,Football • Forward • 2011,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Birgit_Prinz,0.89,96.6,91.5,206.59,202.22,-4.69,1005000
ath-P-36126,Matthias Ginter,MAGI,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Matthias_Ginter,0.89,96.6,91.5,206.64,198.73,-3.1,903720
ath-P-17759,Briana Scurry,BRSC,Athlete,Football • Goalkeeper • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Briana_Scurry,0.89,96.5,91.4,206.26,238.01,8.35,521978
ath-P-30345,Joy Fawcett,JOFA,Athlete,Football • Defender • 2003,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Joy_Fawcett,0.89,96.5,91.4,206.14,225.67,0.39,560976
ath-P-28901,Mia Hamm,MIHA,Athlete,Football • Forward • 2003,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Mia_Hamm,0.89,96.5,91.4,206.13,207.54,-5.84,733390
ath-P-35069,Rhian Wilkinson,RHWI,Athlete,Football • Forward • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Rhian_Wilkinson,0.89,96.5,91.4,206.14,203.64,-2.23,595000
ath-P-49074,Sandra Smisek,SASM,Athlete,Football • Forward • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Sandra_Smisek,0.89,96.6,91.4,206.38,213.05,0.36,599975
ath-P-28154,Thomas Müller,THMU,Athlete,Football • Forward • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,0.89,96.5,91.4,206.18,204.85,1.42,665000
ath-P-42113,Ángel Di María,ANMA,Athlete,Football • Forward • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/%C3%81ngel_Di_Mar%C3%ADa,0.89,96.5,91.4,206.26,213.96,4.12,1085000
ath-P-69496,Antonio Carbajal,ANCA,Athlete,Football • Goalkeeper • 1966,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Antonio_Carbajal,0.89,96.4,91.3,205.69,225.23,-4.48,1061433
ath-P-33982,Erin McLeod,ERMC,Athlete,Football • Goalkeeper • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Erin_McLeod,0.89,96.4,91.3,205.78,239.93,0.39,495000
ath-P-93339,Precious Dede,PRDE,Athlete,Football • Goalkeeper • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Precious_Dede,0.89,96.5,91.3,205.92,209.29,9.25,555000
ath-P-10014,Fernando Muslera,FEMU,Athlete,Football • Goalkeeper • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Fernando_Muslera,0.89,96.3,91.2,205.22,214.35,9.03,565000
ath-P-26383,Pretinha,PRET,Athlete,Football • Forward • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Pretinha,0.89,96.2,91.2,205.06,199.78,-1.25,531728
ath-P-44763,Rafael Márquez,RAMA,Athlete,Football • Defender • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Rafael_M%C3%A1rquez,0.89,96.3,91.2,205.28,201.27,-5.29,905000
ath-P-54298,Yoshikatsu Kawaguchi,YOKA,Athlete,Football • Goalkeeper • 2010,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Yoshikatsu_Kawaguchi,0.89,96.3,91.2,205.3,208.14,0.93,538553
ath-P-93057,Cristiane,CRIS,Athlete,Football • Forward • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Cristiane_(footballer),0.89,96.2,91.1,204.87,193.76,5.63,595000
ath-P-82458,Denis Caniza,DECA,Athlete,Football • Defender • 2010,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Denis_Caniza,0.89,96.1,91.1,204.61,201.45,-2.48,578067
ath-P-61793,Iker Casillas,IKCA,Athlete,Football • Goalkeeper • 2014,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Iker_Casillas,0.89,96.1,91.0,204.44,189.49,2.35,785000
ath-P-59802,Martín Silva,MASI,Athlete,Football • Goalkeeper • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Mart%C3%ADn_Silva,0.89,96.1,91.0,204.35,204.98,-4.36,779030
ath-P-98173,Rigobert Song,RISO,Athlete,Football • Defender • 2010,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Rigobert_Song,0.89,96.1,91.0,204.46,204.31,0.34,469405
ath-P-85281,Rosana,ROSA,Athlete,Football • Forward • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Rosana_dos_Santos_Augusto,0.89,96.1,91.0,204.29,201.14,-0.77,625000
ath-P-04310,Aya Miyama,AYMI,Athlete,Football • Midfielder • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Aya_Miyama,0.89,96.0,90.9,204.01,213.63,3.48,515000
ath-P-28528,Diana Matheson,DIMA,Athlete,Football • Midfielder • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Diana_Matheson,0.89,96.0,90.9,203.86,205.5,-3.83,605000
ath-P-33175,Keisuke Honda,KEHO,Athlete,Football • Midfielder • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Keisuke_Honda,0.89,95.9,90.9,203.77,218.88,-2.66,803944
ath-P-42326,Raphaël Varane,RAVA,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Rapha%C3%ABl_Varane,0.89,95.9,90.8,203.54,192.56,4.55,895256
ath-P-35246,Fernando Hierro,FEHI,Athlete,Football • Midfielder • 2002,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Fernando_Hierro,0.89,95.7,90.7,202.92,225.79,-1.32,806448
ath-P-95122,Woon-jae Lee,WOLE,Athlete,Football • Goalkeeper • 2010,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Lee_Woon-jae,0.89,95.7,90.7,202.71,196.03,2.25,538553
ath-P-91718,Cafu,CAFU,Athlete,Football • Defender • 2006,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Cafu,0.89,95.7,90.6,202.56,237.29,1.32,684727
ath-P-29143,Giuseppe Bergomi,GIBE,Athlete,Football • Defender • 1998,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Giuseppe_Bergomi,0.89,95.6,90.6,202.18,186.26,-1.17,661279
