id,name,ticker,primaryCategory,discipline,leagueOrMedium,teamOrPlatform,role,country,careerStatus,marketSegment,careerStage,lastVerifiedAt,verificationStatus,sourceName,sourceUrl,sourceRecordId,dataConfidence,marketPrice,careerScore
cur-vin-cius-j-nior,Vinícius Júnior,VIOR,Athlete,Soccer,La Liga,Real Madrid,Forward,Brazil,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,148.69,79.2
cur-bukayo-saka,Bukayo Saka,BUKA,Athlete,Soccer,Premier League,Arsenal,Forward,England,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,132.38,77.9
cur-cole-palmer,Cole Palmer,COER,Athlete,Soccer,Premier League,Chelsea,Midfielder,England,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,143.07,86.8
cur-jamal-musiala,Jamal Musiala,JALA,Athlete,Soccer,Bundesliga,Bayern Munich,Midfielder,Germany,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,150.7,84.8
cur-florian-wirtz,Florian Wirtz,FLTZ,Athlete,Soccer,Premier League,Liverpool,Midfielder,Germany,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,124.61,79.2
cur-pedri,Pedri,PERI,Athlete,Soccer,La Liga,Barcelona,Midfielder,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,141.77,81.4
cur-aitana-bonmat,Aitana Bonmatí,AITI,Athlete,Soccer,Liga F,Barcelona,Midfielder,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,136.73,79.1
cur-alexia-putellas,Alexia Putellas,ALAS,Athlete,Soccer,Liga F,Barcelona,Midfielder,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,142.66,86.0
cur-trinity-rodman,Trinity Rodman,TRAN,Athlete,Soccer,NWSL,Washington Spirit,Forward,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,128.48,78.0
cur-salma-paralluelo,Salma Paralluelo,SALO,Athlete,Soccer,Liga F,Barcelona,Forward,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,150.15,84.3
cur-lauren-james,Lauren James,LAES,Athlete,Soccer,Women’s Super League,Chelsea,Forward,England,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,141.19,81.0
cur-sophia-wilson,Sophia Wilson,SOON,Athlete,Soccer,NWSL,Portland Thorns,Forward,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,132.99,80.0
cur-shohei-ohtani,Shohei Ohtani,SHNI,Athlete,Baseball,MLB,Los Angeles Dodgers,Designated Hitter / Pitcher,Japan,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,124.21,75.2
cur-aaron-judge,Aaron Judge,AAGE,Athlete,Baseball,MLB,New York Yankees,Outfielder,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,146.1,86.0
cur-juan-soto,Juan Soto,JUTO,Athlete,Baseball,MLB,New York Mets,Outfielder,Dominican Republic,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,145.1,86.0
cur-bobby-witt-jr,Bobby Witt Jr.,BOJR,Athlete,Baseball,MLB,Kansas City Royals,Shortstop,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,142.09,80.2
cur-mookie-betts,Mookie Betts,MOTS,Athlete,Baseball,MLB,Los Angeles Dodgers,Infielder / Outfielder,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,137.99,79.4
cur-ronald-acu-a-jr,Ronald Acuña Jr.,ROJR,Athlete,Baseball,MLB,Atlanta Braves,Outfielder,Venezuela,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,135.74,84.1
cur-gunnar-henderson,Gunnar Henderson,GUON,Athlete,Baseball,MLB,Baltimore Orioles,Shortstop,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,148.8,87.0
cur-paul-skenes,Paul Skenes,PAE2,Athlete,Baseball,MLB,Pittsburgh Pirates,Pitcher,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,137.67,83.3
cur-tarik-skubal,Tarik Skubal,TAAL,Athlete,Baseball,MLB,Detroit Tigers,Pitcher,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,128.78,79.7
cur-elly-de-la-cruz,Elly De La Cruz,ELUZ,Athlete,Baseball,MLB,Cincinnati Reds,Shortstop,Dominican Republic,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,135.25,75.1
cur-connor-mcdavid,Connor McDavid,COID,Athlete,Hockey,NHL,Edmonton Oilers,Center,Canada,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,151.27,81.3
cur-nathan-mackinnon,Nathan MacKinnon,NAON,Athlete,Hockey,NHL,Colorado Avalanche,Center,Canada,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,143.92,83.7
cur-auston-matthews,Auston Matthews,AUWS,Athlete,Hockey,NHL,Toronto Maple Leafs,Center,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,144.65,86.9
cur-leon-draisaitl,Leon Draisaitl,LETL,Athlete,Hockey,NHL,Edmonton Oilers,Center,Germany,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,147.28,82.6
cur-cale-makar,Cale Makar,CAAR,Athlete,Hockey,NHL,Colorado Avalanche,Defenseman,Canada,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,149.52,85.9
cur-david-pastr-k,David Pastrňák,DAAK,Athlete,Hockey,NHL,Boston Bruins,Right Wing,Czech Republic,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,137.19,82.0
cur-quinn-hughes,Quinn Hughes,QUES,Athlete,Hockey,NHL,Vancouver Canucks,Defenseman,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,143.15,83.2
cur-jack-hughes,Jack Hughes,JAES,Athlete,Hockey,NHL,New Jersey Devils,Center,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,135.01,76.1
cur-sidney-crosby,Sidney Crosby,SIBY,Athlete,Hockey,NHL,Pittsburgh Penguins,Center,Canada,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,147.51,77.8
cur-connor-bedard,Connor Bedard,CORD,Athlete,Hockey,NHL,Chicago Blackhawks,Center,Canada,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,128.5,77.1
cur-carlos-alcaraz,Carlos Alcaraz,CAAZ,Athlete,Tennis,ATP,—,Singles,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,167.97,94.8
cur-jannik-sinner,Jannik Sinner,JAER,Athlete,Tennis,ATP,—,Singles,Italy,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,133.53,79.6
cur-coco-gauff,Coco Gauff,COFF,Athlete,Tennis,WTA,—,Singles,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,144.46,90.4
cur-iga-wi-tek,Iga Świątek,IGEK,Athlete,Tennis,WTA,—,Singles,Poland,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,143.34,89.3
cur-aryna-sabalenka,Aryna Sabalenka,ARKA,Athlete,Tennis,WTA,—,Singles,Belarus,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,137.97,78.2
cur-zheng-qinwen,Zheng Qinwen,ZHEN,Athlete,Tennis,WTA,—,Singles,China,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,155.85,87.0
cur-mirra-andreeva,Mirra Andreeva,MIVA,Athlete,Tennis,WTA,—,Singles,Russia,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,140.65,79.7
cur-ben-shelton,Ben Shelton,BEON,Athlete,Tennis,ATP,—,Singles,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,138.32,76.4
cur-taylor-fritz,Taylor Fritz,TATZ,Athlete,Tennis,ATP,—,Singles,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,131.32,82.0
cur-naomi-osaka,Naomi Osaka,NAKA,Athlete,Tennis,WTA,—,Singles,Japan,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,133.4,82.0
cur-scottie-scheffler,Scottie Scheffler,SCER,Athlete,Golf,PGA Tour,—,Golfer,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,141.14,82.1
cur-rory-mcilroy,Rory McIlroy,ROOY,Athlete,Golf,PGA Tour,—,Golfer,Northern Ireland,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,122.77,77.1
cur-xander-schauffele,Xander Schauffele,XALE,Athlete,Golf,PGA Tour,—,Golfer,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,144.74,80.6
cur-collin-morikawa,Collin Morikawa,COWA,Athlete,Golf,PGA Tour,—,Golfer,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,134.88,77.8
cur-nelly-korda,Nelly Korda,NEDA,Athlete,Golf,LPGA Tour,—,Golfer,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,142.05,79.8
cur-lydia-ko,Lydia Ko,LYKO,Athlete,Golf,LPGA Tour,—,Golfer,New Zealand,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,161.29,85.8
cur-rose-zhang,Rose Zhang,RONG,Athlete,Golf,LPGA Tour,—,Golfer,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,129.72,77.7
cur-ludvig-berg,Ludvig Åberg,LURG,Athlete,Golf,PGA Tour,—,Golfer,Sweden,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,133.73,76.2
cur-max-verstappen,Max Verstappen,MAEN,Athlete,Motorsport,Formula 1,Red Bull Racing,Driver,Netherlands,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,151.29,77.7
cur-lando-norris,Lando Norris,LAIS,Athlete,Motorsport,Formula 1,McLaren,Driver,United Kingdom,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,125.59,76.7
cur-charles-leclerc,Charles Leclerc,CHRC,Athlete,Motorsport,Formula 1,Ferrari,Driver,Monaco,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,150.77,85.9
cur-oscar-piastri,Oscar Piastri,OSRI,Athlete,Motorsport,Formula 1,McLaren,Driver,Australia,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,137.69,79.7
cur-george-russell,George Russell,GELL,Athlete,Motorsport,Formula 1,Mercedes,Driver,United Kingdom,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,146.11,79.2
cur-lewis-hamilton,Lewis Hamilton,LEON,Athlete,Motorsport,Formula 1,Ferrari,Driver,United Kingdom,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,124.9,77.6
cur-kimi-antonelli,Kimi Antonelli,KILI,Athlete,Motorsport,Formula 1,Mercedes,Driver,Italy,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,146.55,88.4
cur-carlos-sainz,Carlos Sainz,CANZ,Athlete,Motorsport,Formula 1,Williams,Driver,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,153.27,84.0
cur-islam-makhachev,Islam Makhachev,ISEV,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,Russia,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,135.43,82.0
cur-ilia-topuria,Ilia Topuria,ILIA,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,155.9,85.3
cur-alex-pereira,Alex Pereira,ALRA,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,Brazil,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,154.14,89.6
cur-tom-aspinall,Tom Aspinall,TOLL,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,United Kingdom,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,166.61,90.1
cur-zhang-weili,Zhang Weili,ZHLI,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,China,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,149.97,87.8
cur-valentina-shevchenko,Valentina Shevchenko,VAKO,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,Kyrgyzstan,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,124.54,77.9
cur-sean-o-malley,Sean O’Malley,SEEY,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,130.15,81.9
cur-dricus-du-plessis,Dricus du Plessis,DRIS,Athlete,Combat Sports,UFC,—,Mixed Martial Artist,South Africa,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,151.57,87.2
cur-katie-ledecky,Katie Ledecky,KAKY,Athlete,Swimming,World Aquatics,—,Freestyle Swimmer,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,162.25,82.0
cur-summer-mcintosh,Summer McIntosh,SUSH,Athlete,Swimming,World Aquatics,—,Swimmer,Canada,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,128.94,82.8
cur-noah-lyles,Noah Lyles,NOES,Athlete,Track & Field,World Athletics,—,Sprinter,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,125.22,78.2
cur-sydney-mclaughlin-levrone,Sydney McLaughlin-Levrone,SYNE,Athlete,Track & Field,World Athletics,—,Hurdler / Sprinter,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,149.74,79.7
cur-mondo-duplantis,Mondo Duplantis,MOIS,Athlete,Track & Field,World Athletics,—,Pole Vaulter,Sweden,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,148.3,81.7
cur-simone-biles,Simone Biles,SIES,Athlete,Gymnastics,FIG,—,Artistic Gymnast,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,157.02,84.5
cur-jasprit-bumrah,Jasprit Bumrah,JAAH,Athlete,Cricket,International Cricket,India,Bowler,India,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,152.06,83.3
cur-shubman-gill,Shubman Gill,SHLL,Athlete,Cricket,International Cricket,India,Batter,India,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,140.99,84.6
cur-babar-azam,Babar Azam,BAAM,Athlete,Cricket,International Cricket,Pakistan,Batter,Pakistan,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,155.7,82.3
cur-smriti-mandhana,Smriti Mandhana,SMNA,Athlete,Cricket,International Cricket,India,Batter,India,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,155.85,87.6
cur-ellyse-perry,Ellyse Perry,ELRY,Athlete,Cricket,International Cricket,Australia,All-rounder,Australia,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,167.82,88.2
cur-rashid-khan,Rashid Khan,RAAN,Athlete,Cricket,International Cricket,Afghanistan,Bowler,Afghanistan,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,137.34,77.6
cur-antoine-dupont,Antoine Dupont,ANNT,Athlete,Rugby,Rugby Union,France,Scrum-half,France,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,126.92,77.4
cur-siya-kolisi,Siya Kolisi,SISI,Athlete,Rugby,Rugby Union,South Africa,Flanker,South Africa,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,151.78,78.9
cur-ilona-maher,Ilona Maher,ILER,Athlete,Rugby,Rugby Sevens,United States,Center / Prop,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,129.52,75.3
cur-cheslin-kolbe,Cheslin Kolbe,CHBE,Athlete,Rugby,Rugby Union,South Africa,Wing,South Africa,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,149.5,82.5
cur-taylor-swift,Taylor Swift,TAFT,Music,Pop,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,151.9,83.0
cur-beyonc,Beyoncé,BECE,Music,R&B / Pop,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,168.77,89.7
cur-bad-bunny,Bad Bunny,BANY,Music,Latin / Reggaeton,Music,Solo Artist,Solo Artist,Puerto Rico,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,139.23,78.9
cur-billie-eilish,Billie Eilish,BISH,Music,Alternative Pop,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,150.47,80.0
cur-kendrick-lamar,Kendrick Lamar,KEAR,Music,Hip-Hop,Music,Rapper,Rapper,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,155.88,86.0
cur-sza,SZA,SZAX,Music,R&B,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,145.07,88.3
cur-sabrina-carpenter,Sabrina Carpenter,SAER,Music,Pop,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,150.2,79.9
cur-olivia-rodrigo,Olivia Rodrigo,OLGO,Music,Pop / Rock,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,161.34,84.3
cur-dua-lipa,Dua Lipa,DUPA,Music,Pop,Music,Solo Artist,Solo Artist,United Kingdom,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,139.22,79.9
cur-ariana-grande,Ariana Grande,ARDE,Music,Pop / R&B,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,144.69,81.1
cur-the-weeknd,The Weeknd,THND,Music,R&B / Pop,Music,Solo Artist,Solo Artist,Canada,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,125.36,77.7
cur-drake,Drake,DRKE,Music,Hip-Hop / Pop,Music,Rapper,Rapper,Canada,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,152.34,78.4
cur-karol-g,Karol G,KALG,Music,Latin / Reggaeton,Music,Solo Artist,Solo Artist,Colombia,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,155.03,83.1
cur-chappell-roan,Chappell Roan,CHAN,Music,Pop,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,139.39,75.8
cur-doechii,Doechii,DOII,Music,Hip-Hop / R&B,Music,Rapper,Rapper,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,147.49,90.8
cur-tyla,Tyla,TYLA,Music,Afrobeats / Pop,Music,Solo Artist,Solo Artist,South Africa,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,145.52,75.5
cur-morgan-wallen,Morgan Wallen,MOEN,Music,Country,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,134.51,78.0
cur-zach-bryan,Zach Bryan,ZAAN,Music,Country / Folk,Music,Solo Artist,Solo Artist,United States,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,147.73,84.0
cur-burna-boy,Burna Boy,BUOY,Music,Afrobeats,Music,Solo Artist,Solo Artist,Nigeria,Active,Current,Active career,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,131.15,75.2
